House_ID,City,Location_Type,Property_Type,Area_sqft,Bedrooms,Bathrooms,Parking_Spaces,Floors,House_Age_Years,Furnishing,Price_Lakh
H0324,Vellore,Urban,Villa,1754,4,4,1,3,16,Unfurnished,152.86
H0325,Trichy,Rural,Independent House,1003,2,1,2,5,15,Unfurnished,54.2
H0326,Salem,Rural,Villa,2799,6,5,1,5,11,Semi-Furnished,157.74
H0327,Madurai,Urban,Apartment,2701,4,4,2,4,7,Semi-Furnished,194.49
H0328,Trichy,Urban,Apartment,3791,5,5,1,5,19,Semi-Furnished,268.28
H0329,Chennai,Suburban,Apartment,2296,5,4,2,1,2,Furnished,246.8
H0330,Chennai,Rural,Townhouse,1227,2,1,1,5,15,Furnished,90.57
H0331,Vellore,Rural,Independent House,1186,1,1,1,4,29,Furnished,41.6
H0332,Madurai,Urban,Townhouse,2248,4,4,2,3,12,Semi-Furnished,167.4
H0333,Salem,Urban,Apartment,2043,4,4,1,3,22,Semi-Furnished,128.68
H0334,Coimbatore,Suburban,Independent House,2045,4,3,0,5,27,Unfurnished,137.24
H0335,Madurai,Suburban,Independent House,703,2,3,2,2,18,Furnished,55.89
H0336,Erode,Urban,Apartment,853,2,1,1,3,7,Furnished,70.11
H0337,Trichy,Rural,Villa,3898,6,5,2,5,21,Unfurnished,185.67
H0338,Trichy,Suburban,Townhouse,3783,6,5,1,4,4,Furnished,271.39
H0339,Tirunelveli,Suburban,Villa,3157,6,5,2,5,19,Semi-Furnished,214.29
H0340,Chennai,Rural,Villa,2096,4,4,0,3,7,Semi-Furnished,198.22
H0341,Vellore,Suburban,Apartment,698,1,1,1,4,23,Semi-Furnished,33.64
H0342,Trichy,Urban,Apartment,2800,5,5,3,5,11,Furnished,237.15
H0343,Madurai,Suburban,Townhouse,2484,5,5,2,1,0,Furnished,179.31
H0344,Trichy,Urban,Apartment,3561,6,5,1,4,24,Furnished,261.78
H0345,Vellore,Suburban,Independent House,2519,5,5,1,1,29,Semi-Furnished,162.7
H0346,Vellore,Urban,Independent House,1477,3,3,2,2,20,Semi-Furnished,123.52
H0347,Vellore,Suburban,Independent House,937,1,1,1,4,19,Furnished,56.51
H0348,Madurai,Urban,Townhouse,3469,6,5,2,1,5,Semi-Furnished,265.27
H0349,Coimbatore,Urban,Apartment,3834,6,5,2,3,21,Unfurnished,290.58
H0350,Tirunelveli,Urban,Apartment,1556,2,2,0,3,17,Furnished,82.42
H0351,Chennai,Urban,Apartment,2304,5,5,1,2,7,Semi-Furnished,297.42
H0352,Trichy,Suburban,Independent House,760,2,1,2,4,6,Semi-Furnished,44.98
H0353,Madurai,Suburban,Apartment,2203,4,3,1,4,0,Furnished,147.05
H0354,Salem,Suburban,Apartment,3448,6,5,1,4,20,Semi-Furnished,170.71
H0355,Chennai,Urban,Villa,997,3,2,3,2,15,Semi-Furnished,184.89
H0356,Coimbatore,Urban,Townhouse,1900,3,4,2,4,11,Unfurnished,174.95
H0357,Madurai,Urban,Apartment,1415,2,1,2,3,5,Unfurnished,103.37
H0358,Erode,Urban,Apartment,2127,3,4,2,1,19,Semi-Furnished,135.99
H0359,Erode,Rural,Townhouse,2519,5,5,2,3,1,Semi-Furnished,124.03
H0360,Tirunelveli,Urban,Apartment,2015,4,3,0,3,28,Semi-Furnished,122.23
H0361,Tirunelveli,Urban,Apartment,1758,4,4,1,1,13,Semi-Furnished,116.31
H0362,Coimbatore,Urban,Apartment,1818,4,4,1,3,3,Semi-Furnished,184.51
H0363,Coimbatore,Urban,Independent House,1000,1,1,1,2,0,Furnished,113.97
H0364,Tirunelveli,Suburban,Apartment,1239,2,2,2,1,22,Semi-Furnished,53.08
H0365,Trichy,Suburban,Townhouse,3704,6,5,1,3,17,Semi-Furnished,223.25
H0366,Trichy,Urban,Independent House,3335,6,5,1,5,12,Semi-Furnished,281.26
H0367,Madurai,Urban,Independent House,1059,2,3,1,3,1,Unfurnished,87.04
H0368,Salem,Urban,Apartment,1554,3,4,0,2,8,Furnished,124.92
H0369,Madurai,Urban,Independent House,1069,1,1,1,4,20,Semi-Furnished,81.36
H0370,Salem,Urban,Independent House,1645,1,1,1,3,1,Furnished,127.82
H0371,Coimbatore,Rural,Villa,3397,6,5,1,4,26,Unfurnished,209.2
H0372,Chennai,Suburban,Villa,2293,6,5,0,5,24,Semi-Furnished,288.83
H0373,Madurai,Suburban,Independent House,2685,5,4,1,3,8,Semi-Furnished,184.55
H0374,Madurai,Urban,Townhouse,2877,5,5,2,1,0,Semi-Furnished,232.64
H0375,Salem,Urban,Villa,1162,4,4,1,4,10,Semi-Furnished,147.98
H0376,Vellore,Suburban,Villa,3085,6,5,1,5,2,Unfurnished,229.14
H0377,Coimbatore,Suburban,Apartment,2399,5,5,2,1,19,Semi-Furnished,178.85
H0378,Coimbatore,Suburban,Apartment,3954,6,5,1,1,29,Semi-Furnished,250.9
H0379,Erode,Urban,Apartment,2674,5,5,2,1,22,Unfurnished,155.66
H0380,Vellore,Suburban,Independent House,825,1,1,1,1,25,Furnished,58.26
H0381,Salem,Urban,Apartment,3948,6,5,1,3,3,Furnished,283.71
H0382,Coimbatore,Rural,Apartment,1397,4,5,2,3,17,Semi-Furnished,80.18
H0383,Vellore,Suburban,Villa,2931,5,4,1,3,22,Unfurnished,183.17
H0384,Tirunelveli,Suburban,Villa,3526,6,5,2,5,5,Semi-Furnished,261.46
H0385,Vellore,Urban,Townhouse,1559,3,3,1,5,2,Furnished,149.99
H0386,Trichy,Suburban,Apartment,2104,4,4,2,5,21,Semi-Furnished,117.89
H0387,Erode,Urban,Independent House,1052,4,4,1,2,10,Semi-Furnished,97.73
H0388,Tirunelveli,Urban,Apartment,3667,6,5,1,5,14,Furnished,243.23
H0389,Chennai,Urban,Apartment,1415,2,3,2,3,21,Semi-Furnished,159.18
H0390,Madurai,Suburban,Apartment,1258,2,3,0,3,27,Unfurnished,55.82
H0391,Erode,Urban,Apartment,1146,3,3,1,2,4,Semi-Furnished,84.8
H0392,Chennai,Urban,Independent House,1815,3,3,2,2,19,Semi-Furnished,221.12
H0393,Madurai,Rural,Villa,3720,6,5,2,5,9,Semi-Furnished,218.75
H0394,Trichy,Urban,Apartment,616,1,2,1,4,11,Furnished,71.59
H0395,Vellore,Suburban,Villa,3843,6,5,2,2,14,Unfurnished,257.71
H0396,Coimbatore,Urban,Independent House,1843,4,4,3,1,16,Semi-Furnished,218.32
H0397,Tirunelveli,Urban,Apartment,2805,6,5,2,3,9,Semi-Furnished,180.86
H0398,Salem,Suburban,Independent House,3124,5,5,0,1,5,Semi-Furnished,198.3
H0399,Tirunelveli,Urban,Apartment,1669,2,1,2,3,17,Semi-Furnished,106.49
H0400,Trichy,Suburban,Independent House,3165,6,5,1,3,12,Semi-Furnished,213.94
H0401,Chennai,Suburban,Independent House,2746,4,5,3,2,2,Furnished,323.85
H0402,Salem,Suburban,Apartment,2368,4,3,1,2,29,Unfurnished,107.87
H0403,Coimbatore,Suburban,Apartment,1660,3,2,1,1,23,Unfurnished,94.16
H0404,Trichy,Urban,Independent House,2927,4,5,2,3,9,Semi-Furnished,258.07
H0405,Salem,Urban,Townhouse,3144,6,5,1,1,29,Unfurnished,186.65
H0406,Trichy,Suburban,Apartment,901,2,3,3,4,13,Furnished,67.4
H0407,Vellore,Suburban,Villa,780,2,2,3,1,5,Semi-Furnished,75.45
H0408,Trichy,Suburban,Independent House,1206,1,1,2,5,2,Semi-Furnished,74.13
H0409,Coimbatore,Suburban,Townhouse,3770,6,5,1,1,15,Semi-Furnished,285.91
H0410,Erode,Suburban,Villa,1299,3,3,2,5,6,Semi-Furnished,111.68
H0411,Madurai,Suburban,Independent House,1592,2,2,0,5,19,Semi-Furnished,83.41
H0412,Salem,Urban,Independent House,1739,3,3,0,5,13,Furnished,142.64
H0413,Vellore,Suburban,Villa,790,1,1,2,4,8,Semi-Furnished,73.72
H0414,Coimbatore,Suburban,Apartment,2900,5,4,1,1,14,Furnished,223.77
H0415,Trichy,Urban,Apartment,1580,2,2,1,1,20,Semi-Furnished,113.24
H0416,Vellore,Rural,Apartment,3575,6,5,3,4,2,Furnished,164.42
H0417,Coimbatore,Rural,Villa,2606,4,4,1,3,1,Furnished,227.33
H0418,Erode,Suburban,Villa,1784,4,4,1,2,26,Semi-Furnished,129.01
H0419,Vellore,Urban,Apartment,3927,6,5,3,1,1,Semi-Furnished,310.98
H0420,Vellore,Urban,Independent House,3994,6,5,0,2,2,Unfurnished,313.59
H0421,Madurai,Suburban,Independent House,727,3,2,2,4,17,Semi-Furnished,56.15
H0422,Tirunelveli,Rural,Apartment,2665,4,5,3,3,13,Semi-Furnished,92.66
H0423,Salem,Urban,Townhouse,2416,6,5,3,3,19,Unfurnished,166.93
H0424,Madurai,Urban,Apartment,2358,2,1,2,3,17,Semi-Furnished,149.82
H0425,Chennai,Rural,Apartment,3213,4,3,1,4,9,Furnished,228.33
H0426,Salem,Urban,Independent House,1169,1,1,1,5,24,Semi-Furnished,74.1
H0427,Madurai,Suburban,Villa,1946,3,3,2,5,1,Unfurnished,151.11
H0428,Trichy,Rural,Apartment,2495,5,5,2,2,24,Semi-Furnished,103.6
H0429,Salem,Urban,Independent House,3333,6,5,1,5,28,Furnished,250.01
H0430,Salem,Suburban,Independent House,1225,2,2,1,5,21,Furnished,90.9
H0431,Coimbatore,Urban,Apartment,3959,6,5,0,3,0,Furnished,406.4
H0432,Trichy,Urban,Apartment,3501,6,5,0,3,3,Semi-Furnished,258.8
H0433,Chennai,Suburban,Independent House,2286,5,5,2,2,30,Semi-Furnished,230.3
H0434,Tirunelveli,Urban,Apartment,3609,6,5,1,1,13,Furnished,222.7
H0435,Vellore,Rural,Townhouse,754,1,1,3,2,0,Unfurnished,35.24
H0436,Erode,Suburban,Villa,3137,6,5,2,2,13,Unfurnished,215.39
H0437,Madurai,Urban,Townhouse,2009,4,4,1,4,15,Semi-Furnished,159.13
H0438,Coimbatore,Urban,Apartment,1384,2,2,2,4,21,Unfurnished,112.51
H0439,Madurai,Urban,Townhouse,3775,6,5,1,2,13,Furnished,288.86
H0440,Chennai,Urban,Independent House,845,2,2,2,2,28,Semi-Furnished,90.85
H0441,Vellore,Urban,Apartment,3847,6,5,2,2,19,Semi-Furnished,265.73
H0442,Chennai,Urban,Apartment,3710,6,5,2,5,2,Unfurnished,402.4
H0443,Salem,Suburban,Apartment,2100,4,5,2,4,2,Unfurnished,130.02
H0444,Erode,Suburban,Independent House,2305,4,3,1,2,8,Furnished,152.1
H0445,Chennai,Suburban,Independent House,3406,6,5,0,3,5,Unfurnished,319.28
H0446,Madurai,Suburban,Apartment,1137,1,1,2,3,24,Furnished,69.8
H0447,Trichy,Urban,Independent House,2490,4,3,0,5,12,Unfurnished,191.85
H0448,Trichy,Urban,Apartment,2441,4,4,1,5,20,Unfurnished,155.44
H0449,Salem,Suburban,Independent House,1520,3,4,0,1,1,Furnished,120.67
H0450,Tirunelveli,Suburban,Apartment,3055,5,4,2,1,7,Semi-Furnished,148.25
H0451,Madurai,Urban,Villa,1124,2,1,1,1,20,Furnished,110.19
H0452,Madurai,Suburban,Villa,3475,6,5,2,5,1,Semi-Furnished,294.08
H0453,Chennai,Suburban,Independent House,2129,5,5,3,5,3,Semi-Furnished,269.12
H0454,Erode,Suburban,Apartment,3550,6,5,0,5,24,Semi-Furnished,176.21
H0455,Madurai,Urban,Apartment,635,1,1,0,3,14,Unfurnished,37.34
H0456,Coimbatore,Suburban,Villa,1284,2,1,1,5,3,Semi-Furnished,149.81
H0457,Tirunelveli,Suburban,Apartment,619,1,1,2,3,12,Semi-Furnished,33.69
H0458,Chennai,Suburban,Apartment,2968,6,5,1,1,27,Unfurnished,220.4
H0459,Coimbatore,Suburban,Apartment,3159,5,5,1,1,11,Unfurnished,205.18
H0460,Salem,Suburban,Independent House,999,1,1,0,1,27,Furnished,69.13
H0461,Trichy,Suburban,Independent House,3301,6,5,2,2,12,Unfurnished,194.52
H0462,Salem,Urban,Villa,1571,1,1,1,2,30,Furnished,135.18
H0463,Trichy,Suburban,Apartment,2506,5,5,2,4,13,Unfurnished,132.8
H0464,Salem,Suburban,Apartment,3118,5,5,3,4,19,Furnished,180.29
H0465,Madurai,Suburban,Villa,1766,4,4,1,4,17,Furnished,155.83
H0466,Coimbatore,Urban,Villa,1715,1,1,2,2,28,Semi-Furnished,193.53
H0467,Trichy,Urban,Apartment,1433,1,1,0,2,27,Semi-Furnished,80.34
H0468,Chennai,Rural,Independent House,2423,4,3,2,4,30,Semi-Furnished,152.33
H0469,Coimbatore,Suburban,Apartment,3374,6,5,2,4,5,Furnished,284.41
H0470,Chennai,Rural,Townhouse,2582,5,5,2,5,28,Semi-Furnished,188.49
H0471,Coimbatore,Suburban,Apartment,1453,2,2,0,4,10,Unfurnished,89.26
H0472,Coimbatore,Suburban,Townhouse,650,2,1,1,5,29,Semi-Furnished,36.22
H0473,Salem,Suburban,Independent House,1174,4,4,1,3,1,Furnished,101.69
H0474,Trichy,Rural,Independent House,3861,6,5,1,2,27,Semi-Furnished,170.85
H0475,Trichy,Suburban,Apartment,1748,3,2,1,4,22,Furnished,96.98
H0476,Erode,Suburban,Independent House,2797,5,5,1,2,18,Unfurnished,151.77
H0477,Coimbatore,Urban,Apartment,2961,4,4,1,2,30,Unfurnished,202.58
H0478,Madurai,Suburban,Apartment,3217,6,5,1,2,18,Semi-Furnished,172.43
H0479,Madurai,Suburban,Independent House,2952,4,3,2,3,4,Semi-Furnished,193.09
H0480,Chennai,Urban,Townhouse,2315,5,5,1,1,18,Unfurnished,251.24
H0481,Chennai,Urban,Independent House,1281,4,4,0,4,1,Semi-Furnished,209.87
H0482,Salem,Urban,Independent House,1437,3,4,1,1,9,Unfurnished,118.61
H0483,Coimbatore,Urban,Apartment,1677,3,3,0,1,24,Semi-Furnished,148.43
H0484,Chennai,Urban,Apartment,3650,6,5,3,1,1,Unfurnished,394.8
H0485,Chennai,Urban,Apartment,3091,6,5,1,2,29,Semi-Furnished,332.82
H0486,Tirunelveli,Rural,Independent House,3260,6,5,2,5,10,Semi-Furnished,138.96
H0487,Coimbatore,Suburban,Townhouse,3640,6,5,3,2,17,Unfurnished,240.13
H0488,Vellore,Urban,Independent House,2911,6,5,2,2,28,Semi-Furnished,227.0
H0489,Salem,Urban,Apartment,3724,6,5,2,1,30,Semi-Furnished,215.52
H0490,Chennai,Suburban,Apartment,2195,5,5,2,2,23,Furnished,219.65
H0491,Salem,Urban,Independent House,3651,6,5,3,1,14,Semi-Furnished,281.79
H0492,Trichy,Suburban,Apartment,604,1,1,2,5,8,Semi-Furnished,39.78
H0493,Salem,Suburban,Villa,1726,3,3,2,4,22,Furnished,123.28
H0494,Vellore,Suburban,Villa,1819,3,3,2,1,18,Furnished,164.21
H0495,Madurai,Urban,Independent House,1373,1,1,1,5,8,Semi-Furnished,112.61
H0496,Vellore,Suburban,Apartment,1476,3,2,2,4,2,Unfurnished,86.44
H0497,Madurai,Urban,Apartment,1591,2,2,1,3,20,Semi-Furnished,109.5
H0498,Salem,Rural,Apartment,3531,6,5,1,1,8,Furnished,145.98
H0499,Madurai,Suburban,Apartment,646,2,1,1,1,27,Semi-Furnished,38.17
H0500,Trichy,Urban,Apartment,3514,6,5,0,3,29,Furnished,243.76
